,commit,comment,contributor,fork,open_issue,closed_issue,
Chart.js_projects,834.713912,188.3199706,933.9002148,3799.213865,985.5136529,1472.766155,成熟
d3_projects,504.9802525,220.8612649,459.9499203,9439.101349,357.6515532,1167.754379,成熟
echarts_projects,231.2244779,180.8543962,271.318068,3846.762507,1683.692987,2067.536759,成熟
ember.js_projects,2132.367128,401.2709658,877.2928446,4951.458498,696.4092738,2904.511823,成熟
firebug_projects,212.9030089,461.0886741,265.0195627,1009.197613,410.0293709,623.5954292,成熟
FreeCodeCamp_projects,2429.055674,176.3523382,2153.174302,3058.138664,472.4399248,751.4225913,成熟
git_projects,3373.996286,212.0192928,1005.845378,9427.077607,320.0378415,449.3164116,成熟
go_projects,2667.984014,218.319052,1254.337986,2353.551773,3199.566064,2446.703602,成熟
ipython_projects,1672.426747,179.6048709,1192.646535,4952.384349,2207.375481,1569.804685,成熟
jquery_projects,958.7455679,630.4109598,683.4316682,7755.036352,279.7363009,1205.638444,成熟
mysql-server_projects,401.1277384,201.6181375,442.9505606,1759.544205,2701.636384,463.8549637,成熟
openstack_projects,5293.432065,667.2963319,1333.344334,2901.019753,,672.819007,成熟
php-src_projects,1570.805218,938.3190547,832.6334927,4549.586633,810.1720957,1371.554197,成熟
ruby_projects,252.1142571,366.0956038,219.1873031,5241.66686,393.3772293,1143.566446,成熟
scala_projects,1174.847778,716.4835848,1319.689091,3337.053266,277.9477714,1881.335558,成熟
scikit-learn_projects,2869.669927,697.4952122,1581.666548,5887.882119,2144.928257,1953.86794,成熟
spark_projects,3708.08,412.8978094,1408.39743,6457.079876,844.543401,2657.506134,成熟
spring-framework_projects,776.2385816,327.5821243,680.0755967,6844.724583,646.3173934,858.8348239,成熟
swift_projects,1885.185925,607.0464021,1233.545445,1824.154114,374.6510484,527.891406,成熟
tensorflow_projects,2326.65224,189.0753952,2187.115835,1656.523607,1118.588208,613.6622211,成熟
ajhc_projects,246.0741631,214.2637905,210.5305618,1040.507167,248.4628228,1314.302082,不成熟
angelos_projects,815.4793433,,340.5112115,10260.87212,942.9958711,,不成熟
Canvassa_projects,2116.495385,,1425.678315,10260.87212,596.0515009,1703.473709,不成熟
comp_projects,2958.247681,1269.840609,682.9779081,3040.560228,425.4301825,571.9256183,不成熟
Crisp_projects,2116.495385,,1425.678315,1523.169433,273.5509078,1727.403641,不成熟
DOMinate_projects,898.1334838,,363.0265474,1628.353312,241.8749225,805.1098536,不成熟
GenI_projects,578.6479887,,297.1180558,10260.87212,439.424463,1973.016782,不成熟
hgd_projects,559.8379194,172.6195962,364.2830879,1283.502432,224.7465186,697.1026536,不成熟
luv.js_projects,2958.247681,,682.9779081,10260.87212,1617.697706,709.5202626,不成熟
matR_projects,499.8437704,,428.0786455,1516.709647,202.2040679,856.134475,不成熟
mfp_projects,2122.597917,213.4628587,682.9779081,3040.560228,257.0598336,451.7429417,不成熟
pass.js_projects,2116.495385,,1425.678315,10260.87212,2701.636384,,不成熟
pdnsui_projects,406.2835014,,370.9492304,1484.722622,286.9186795,827.6804133,不成熟
PiSpace_projects,2116.495385,,1425.678315,,315.9732631,980.483685,不成熟
pw2mw_projects,2116.495385,1269.840609,1425.678315,,332.666097,640.7642877,不成熟
pyqcy_projects,2116.495385,534.1256158,1425.678315,10260.87212,271.3470978,1022.259923,不成熟
redstore_projects,2958.247681,,682.9779081,1721.728003,218.8522129,655.807514,不成熟
spiff_projects,2116.495385,,1425.678315,1253.600976,248.9553398,1408.545152,不成熟
Unpapered_projects,2958.247681,,682.9779081,1761.085063,640.529466,3800.956665,不成熟
wijs_projects,2116.495385,,1425.678315,,2701.636384,,不成熟
