projects,commit,commit1,commit2,comment,contributor,fork,open_issue,closed_issue,mark,starers,forks
algorithm_projects,0.4887615,0.194041065,0.176496375,27.45809338,1.90361487,4.463125922,3.207519807,8.198872374,0,26,48
angular_projects,0.028822524,0.001424677,0.012955078,0.156776243,0.103692651,0.093154466,0.573839747,0.169645557,0,19668,5127
assign_projects,1.204657514,0.387828441,0.635017718,102.7201466,2.592847539,16.08823353,9.876799272,13.3761566,0,0,17
atomic_projects,1.515429459,1.407617072,0.852146295,102.7201466,4.336232653,10.39930031,39.91517057,14.20786711,0,9,25
auto_index_projects,9.030212728,18.71787694,5.649502952,102.7201466,24.73864699,29.39441772,39.91517057,75.10051828,0,1,8
barbershop_projects,80.04863744,81.98722578,80.66083001,102.7201466,68.24857661,90.64144948,39.91517057,75.10051828,0,33,4
burp-extensions_projects,66.09761646,105.3921942,166.3609551,102.7201466,72.75246723,13.93144795,39.91517057,75.10051828,0,45,13
django-google-analytics_projects,40.46047861,32.13012765,18.50491893,102.7201466,32.16315583,4.87330482,4.383788364,31.55840657,0,151,62
django-inline-media_projects,66.09761646,105.3921942,166.3609551,102.7201466,72.75246723,38.14603761,39.91517057,30.50489689,0,23,6
DOM-Tetris_projects,66.09761646,105.3921942,166.3609551,102.7201466,72.75246723,20.69168158,39.91517057,75.10051828,0,31,18
ember-konacha-rails_projects,35.7672679,25.05311556,21.85373366,102.7201466,31.37818146,51.49447259,39.91517057,15.32151624,0,25,5
gh12-server_projects,66.09761646,105.3921942,166.3609551,102.7201466,72.75246723,65.68262552,39.91517057,75.10051828,0,6,5
githubPotluck_projects,32.86098958,65.19500209,17.35962001,102.7201466,57.76089497,94.23455627,39.91517057,30.32200291,0,1,7
groovy-core_projects,0.075957279,0.005140499,0.041542123,0.539831319,0.353665432,0.286650049,5.840387311,0.358645687,0,1483,419
Heartbeat-Monitor_projects,66.09761646,105.3921942,166.3609551,102.7201466,72.75246723,24.33797572,39.91517057,75.10051828,0,17,10
javatari_projects,66.09761646,105.3921942,166.3609551,102.7201466,72.75246723,14.97456316,39.91517057,75.10051828,0,106,15
jetty.parent_projects,3.028425078,1.44437463,1.320061212,102.7201466,8.34940286,103.1944896,39.91517057,75.10051828,0,1,3
jquery.fractionslider_projects,52.37078526,81.98722578,52.72811079,102.7201466,68.24857661,3.744879437,3.582990246,13.63059422,0,236,91
lein-daemon_projects,16.25358716,14.84376541,13.22875239,102.7201466,22.97137628,24.57368278,8.311388653,12.98491084,0,93,15
libjingle-ios_projects,66.09761646,105.3921942,166.3609551,102.7201466,72.75246723,69.22600927,39.91517057,75.10051828,0,15,5
luigi_projects,0.04534562,0.001673511,0.017753231,0.417590856,0.191872408,0.103346879,0.650124777,0.139847983,0,,
mac-taskpaper_projects,27.3234728,42.02567534,22.07616674,102.7201466,42.77217341,13.74909288,39.91517057,36.19592787,0,92,19
Mou-Theme_projects,16.23787114,45.35975702,13.12883441,102.7201466,44.96190642,8.195592869,39.91517057,30.4235401,0,194,40
PSGradientButtons_projects,52.37078526,81.98722578,173.3082133,102.7201466,68.24857661,7.632775787,39.91517057,75.10051828,0,89,41
PyWaveform_projects,66.09761646,105.3921942,166.3609551,102.7201466,72.75246723,55.89625898,39.91517057,75.10051828,0,20,6
SAImageDisplayer_projects,52.37078526,81.98722578,52.72811079,102.7201466,68.24857661,56.61245298,39.91517057,75.10051828,0,8,5
salt_projects,0.011038297,0.001642204,0.004211274,102.7201466,0.120781546,136.0114489,39.91517057,11.92860189,0,,
SA-Maps_projects,24.99018298,76.26971283,19.91286508,102.7201466,64.72968738,38.73559328,39.91517057,75.10051828,0,9,11
sublime-text-refactor_projects,2.954089444,4.18639801,1.639551233,102.7201466,11.40811374,25.92423747,6.082304179,7.100614797,0,210,13
sympal_projects,6.247753734,5.165731689,5.064136899,27.45809338,14.46278203,52.22486568,39.91517057,17.66838171,0,49,14
sympy_projects,0.021805262,0.001903826,0.010319667,0.605125623,0.111253191,0.068321153,0.553213853,0.107247963,0,3494,1746
u-boot_projects,0.370150814,0.035693279,0.18545139,102.7201466,1.175718131,38.69313848,39.91517057,75.10051828,0,91,179
yslow_projects,66.09761646,105.3921942,166.3609551,102.7201466,72.75246723,24.95345879,39.91517057,75.10051828,0,54,11
accumulators_projects,0.708453661,0.236766369,0.362827506,102.7201466,72.75246723,371.997339,39.91517057,75.10051828,1,6,20
acts_as_approvable_projects,52.37078526,81.98722578,52.72811079,102.7201466,72.75246723,371.997339,39.91517057,75.10051828,1,18,10
align_projects,1.571162471,1.679295137,0.82000099,102.7201466,72.75246723,371.997339,39.91517057,75.10051828,1,2,14
Amarillo_projects,66.09761646,105.3921942,166.3609551,102.7201466,72.75246723,371.997339,39.91517057,75.10051828,1,6,1
android_projects,52.37078526,81.98722578,173.3082133,102.7201466,72.75246723,371.997339,39.91517057,75.10051828,1,1,0
arachnida_projects,66.09761646,105.3921942,166.3609551,102.7201466,72.75246723,371.997339,39.91517057,75.10051828,1,0,0
Archive_Zip_projects,52.37078526,81.98722578,52.72811079,102.7201466,68.24857661,371.997339,39.91517057,75.10051828,1,1,0
array_projects,0.934218273,0.731322088,0.409488304,102.7201466,72.75246723,371.997339,39.91517057,75.10051828,1,4,16
AS3toTypeScript_projects,80.04863744,81.98722578,80.66083001,102.7201466,68.24857661,37.49467203,13.52870632,75.10051828,1,54,10
Auth_HTTP_projects,4.647423137,7.570297245,2.872318049,102.7201466,13.25407393,371.997339,39.91517057,36.19592787,1,2,1
Auth_PrefManager_projects,11.75636953,18.75719125,6.978754121,102.7201466,21.10015027,371.997339,39.91517057,75.10051828,1,1,0
Auth_RADIUS_projects,52.37078526,81.98722578,52.72811079,102.7201466,68.24857661,371.997339,39.91517057,75.10051828,1,1,0
Auth_SAP_projects,66.09761646,105.3921942,166.3609551,102.7201466,72.75246723,371.997339,39.91517057,75.10051828,1,1,0
