,commit,commit1,commit2,comment,contributor,fork,open_issue,closed_issue,mark
git_projects,0.0145487,0.001800552,0.005474067,0.261133452,0.216226153,0.077358017,1.107627648,0.636505936,0
spark_projects,0.015681327,0.001846385,0.007291477,0.103155586,0.127052421,0.156969295,0.578413635,0.24223533,0
go_projects,0.017974482,0.00174104,0.006793683,0.310209525,0.135334938,0.101148575,0.571804695,0.086023211,0
openstack_projects,0.01859931,0.001947441,0.009121957,13.75367465,0.105951669,0.155381834,39.91517057,9.705114046,0
ember.js_projects,0.024344494,0.001666304,0.011012175,0.105849008,0.164262464,0.063454208,0.611174856,0.137259989,0
FreeCodeCamp_projects,0.02481124,0.00235257,0.012536306,0.44912234,0.129516098,0.128684246,0.65096231,0.189859894,0
tensorflow_projects,0.025248843,0.001706445,0.011089242,0.274976605,0.180810583,0.470738177,0.51942498,0.25556405,0
scikit-learn_projects,0.025488571,0.001713777,0.011352332,0.178718654,0.130768072,0.043763101,0.578836423,0.088324991,0
ipython_projects,0.025872605,0.001438013,0.010797464,0.416456959,0.134084121,0.064519791,0.545900826,0.08417771,0
scala_projects,0.037798743,0.001954509,0.017894534,0.116036468,0.253966895,0.081637541,0.986651055,0.16392399,0
php-src_projects,0.038432717,0.001597405,0.024190064,0.100117483,0.28582145,0.053407142,0.642066856,0.131536313,0
jquery_projects,0.044217759,0.003046924,0.020030469,0.114429112,0.244819068,0.047839815,1.103610215,0.118989903,0
swift_projects,0.044719152,0.001853725,0.021042638,0.181671491,0.109943671,0.684603963,0.797391553,0.309408548,0
spring-framework_projects,0.059174864,0.002706671,0.026308818,0.146991887,0.267165358,0.058023726,0.783214823,0.137771768,0
Chart.js_projects,0.075223755,0.001917432,0.029887848,0.579819996,0.213784923,0.124219355,0.726736838,0.138008732,0
d3_projects,0.090994437,0.004475885,0.036235172,0.420972738,0.453042815,0.090344837,1.157075609,0.108316306,0
firebug_projects,0.257786729,0.054224065,0.128539128,0.283277219,1.372980254,0.424377321,1.243818135,1.59431311,0
echarts_projects,0.314437202,0.027733525,0.157664056,0.554717109,1.564622425,0.070289836,0.557854398,0.200012155,0
ruby_projects,0.354897257,0.603087818,0.148934284,0.123181965,4.359700598,0.044901982,0.846190754,0.130592705,0
mysql-server_projects,0.362299126,0.024860037,0.20870797,4.233980839,0.661264539,0.179734746,39.91517057,1.295198705,0
ajhc_projects,1.863201925,1.723892411,0.854465178,10.24653272,8.109246989,17.69476352,1.791860658,10.56195691,1
hgd_projects,7.022492368,6.687852616,2.88569626,2.846509857,8.815772025,25.16738144,3.640872946,5.649531961,1
matR_projects,9.750280441,20.18621059,7.44520644,102.7201466,21.89438108,28.28172185,5.12232483,11.7303155,1
pdnsui_projects,10.74628949,31.97757724,7.496310566,102.7201466,35.68922279,90.51557619,8.9802152,16.62877018,1
GenI_projects,16.95829181,15.22214373,13.81442749,102.7201466,23.17821327,371.997339,11.00795122,33.27001878,1
angelos_projects,17.64637518,10.6143897,11.53116007,102.7201466,14.36703221,371.997339,10.03963217,75.10051828,1
DOMinate_projects,27.17927701,31.34743542,21.97960963,102.7201466,35.66075608,108.7310085,6.657426887,14.27033567,1
mfp_projects,52.37078526,81.98722578,52.72811079,1.773861889,68.24857661,224.5796078,2.411483252,1.256823225,1
Crisp_projects,66.09761646,105.3921942,166.3609551,102.7201466,72.75246723,93.86043544,6.435757107,35.54846759,1
pyqcy_projects,66.09761646,105.3921942,166.3609551,27.45809338,72.75246723,371.997339,6.853685244,24.15321522,1
pass.js_projects,66.09761646,105.3921942,166.3609551,102.7201466,72.75246723,371.997339,39.91517057,75.10051828,1
pw2mw_projects,66.09761646,105.3921942,166.3609551,102.7201466,72.75246723,371.997339,7.879411022,11.86844448,1
wijs_projects,66.09761646,105.3921942,166.3609551,102.7201466,72.75246723,371.997339,39.91517057,75.10051828,1
Canvassa_projects,66.09761646,105.3921942,166.3609551,102.7201466,72.75246723,371.997339,13.29656716,34.37001503,1
PiSpace_projects,66.09761646,105.3921942,166.3609551,102.7201466,72.75246723,371.997339,6.946607755,19.73092233,1
spiff_projects,66.09761646,105.3921942,166.3609551,102.7201466,72.75246723,37.19728354,6.645113679,34.86861214,1
comp_projects,80.04863744,81.98722578,80.66083001,102.7201466,68.24857661,224.5796078,9.105510288,6.489952826,1
Unpapered_projects,80.04863744,81.98722578,80.66083001,102.7201466,68.24857661,100.2641233,12.44907443,34.76491067,1
redstore_projects,80.04863744,81.98722578,80.66083001,102.7201466,68.24857661,69.96895672,4.792051616,13.56255332,1
luv.js_projects,80.04863744,81.98722578,80.66083001,102.7201466,68.24857661,371.997339,25.60474261,12.20057512,1
