,commit,commit1,commit2,comment,contributor,fork,open_issue,closed_issue
Beta_projects,70.23641179,112.243035,170.8178597,87.97320783,78.58636385,337.2992927,51.17282629,83.98992755
CCourse_projects,70.23641179,112.243035,170.8178597,87.97320783,78.58636385,337.2992927,51.17282629,83.98992755
QuantitativeAnalysis_projects,70.23641179,112.243035,170.8178597,87.97320783,78.58636385,337.2992927,51.17282629,83.98992755
GraphStorageMonitor_projects,55.70542493,86.56020527,176.860005,87.97320783,72.7626974,337.2992927,51.17282629,83.98992755
AutofacDemo_projects,70.23641179,112.243035,170.8178597,87.97320783,78.58636385,337.2992927,51.17282629,83.98992755
mysql-server_projects,0.373223007,0.024843639,0.218638579,3.621682131,0.732985764,0.25455279,51.17282629,1.700803513
GrandMall_projects,70.23641179,112.243035,170.8178597,87.97320783,78.58636385,337.2992927,51.17282629,83.98992755
firebug_projects,0.250638395,0.057064783,0.115612025,0.275954362,1.441669099,0.486659511,1.440651142,2.037682869
ClusterData_projects,70.23641179,112.243035,170.8178597,87.97320783,78.58636385,337.2992927,51.17282629,83.98992755
php-src_projects,0.034366435,0.001121007,0.023393586,0.102123438,0.342163743,0.147812299,0.686963852,0.312798372
ClusterDataSupport_projects,70.23641179,112.243035,170.8178597,87.97320783,78.58636385,337.2992927,51.17282629,83.98992755
git_projects,0.0124753,0.001279653,0.004916018,0.225409832,0.285415231,0.164498315,1.33521528,0.926827154
